NOMBRE ENTIDAD,TIPO ENTIDAD,FECHA CORTE,ESTADO FINANCIERO,CODIGO CUENTA,DESCRIPCION,SALDO,MONEDA
BANCO POPULAR,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,CAPITAL_ADEQUACY,Suficiencia Patrimonial,0.2194,CRC
BANCO POPULAR,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,LIQUIDITY_COVERAGE,Disponibilidades e Inversiones disponibles / Obligaciones público,0.30070724718544894,CRC
BANCO POPULAR,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,PROPORTIONAL_SUPERVISION,Aplica Supervisión Proporcional,1,CRC
BANCO POPULAR,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,STATE_GUARANTEE,Garantía del Estado,1,CRC
BANHVI,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,MARGIN_INTERMEDIATION,Margen de Interm Financiera,0.034534015299313735,CRC
BANHVI,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,ROA,ROA,0.03887208329603006,CRC
BANHVI,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,ROE,ROE,0.06072388805505681,CRC
BANHVI,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,CURRENT_PORTFOLIO,Cartera de crédito al día,1.007505660178357,CRC
BANHVI,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,DELINQUENCY_90,Morosidad >90d y cobro judicial / Cartera Directa,0,CRC
BANHVI,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,OPERATING_EFFICIENCY,Eficiencia Operativa,0.3803525635187198,CRC
BANHVI,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,ADMIN_EXPENSE_ASSETS,Gasto administrativo sobre activos,0.023766223808104697,CRC
BANHVI,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,EQUITY_COMMITMENT,Compromiso Patrimonial,-0.0217,CRC
BANHVI,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,CAPITAL_ADEQUACY,Suficiencia Patrimonial,0.5874,CRC
BANHVI,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,LIQUIDITY_COVERAGE,Disponibilidades e Inversiones disponibles / Obligaciones público,1,CRC
BANHVI,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,PROPORTIONAL_SUPERVISION,Aplica Supervisión Proporcional,1,CRC
BANHVI,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,STATE_GUARANTEE,Garantía del Estado,1,CRC
CAJA de ANDE,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,MARGIN_INTERMEDIATION,Margen de Interm Financiera,0.05701939500384342,CRC
CAJA de ANDE,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,ROA,ROA,0.026173014049421444,CRC
CAJA de ANDE,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,ROE,ROE,0.04168205758214992,CRC
CAJA de ANDE,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,CURRENT_PORTFOLIO,Cartera de crédito al día,0.9707640314998883,CRC
CAJA de ANDE,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,COVERAGE_ARREARS,Cobertura de cartera en atraso,1.63754049758579,CRC
CAJA de ANDE,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,DELINQUENCY_90,Morosidad >90d y cobro judicial / Cartera Directa,0.005196610492369328,CRC
CAJA de ANDE,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,OPERATING_EFFICIENCY,Eficiencia Operativa,0.5360478683863958,CRC
CAJA de ANDE,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,ADMIN_EXPENSE_ASSETS,Gasto administrativo sobre activos,0.029546244993725664,CRC
CAJA de ANDE,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,EQUITY_COMMITMENT,Compromiso Patrimonial,-0.0556,CRC
